id,name,station,walk_min,price_man,land_sqm,bldg_sqm,layout,built_year,zoning,corner,hazard_0_3,redflag_0_3
1,川崎市中原区井田2(日吉物件),日吉,13,5580,73.2,70.28,3LDK,2027,第一種低層,1,0,2
2,横浜市港北区師岡町(新築),大倉山,6,6480,101.31,80.52,3LDK,2026,,0,0,0
3,横浜市港北区篠原北1,菊名,3,6150,46.86,82.07,3LDK,2017,,0,0,0
4,川崎市中原区小杉陣屋町2,武蔵小杉,13,6280,60,105.64,3LDK+S,2022,,0,2,0
5,大田区中央5,西馬込,14,7980,102.83,91.12,3LDK+S,2017,,0,0,0
